gpu_type,pricing_note,neysa_on_demand,neysa_1mo,neysa_6mo,neysa_12mo,neysa_24mo,neysa_36mo,azure_on_demand,azure_12mo,azure_36mo,aws_ec2_on_demand,aws_ec2_12mo,aws_ec2_36mo,aws_sagemaker_on_demand,gcp_on_demand,gcp_12mo,gcp_36mo,gcp_spot,oci_on_demand,runpod_on_demand,runpod_6mo,runpod_36mo,runpod_spot,vultr_on_demand
COLUMN GUIDE,India pricing used where available (IN); US fallback (US),Neysa — On-demand (PAYG),Neysa — 1-month committed,Neysa — 6-month committed,Neysa — 12-month / 1-yr reserved,Neysa — 24-month committed,Neysa — 36-month / 3-yr reserved,Azure — On-demand (PAYG),Azure — 12-month / 1-yr reserved,Azure — 36-month / 3-yr reserved,AWS EC2 — On-demand (PAYG),AWS EC2 — 12-month / 1-yr reserved,AWS EC2 — 36-month / 3-yr reserved,AWS SageMaker — On-demand (PAYG),GCP — On-demand (PAYG),GCP — 12-month / 1-yr reserved,GCP — 36-month / 3-yr reserved,GCP — Spot / Community Cloud,OCI — On-demand (PAYG),RunPod — On-demand (PAYG),RunPod — 6-month committed,RunPod — 36-month / 3-yr reserved,RunPod — Spot / Community Cloud,Vultr — On-demand (PAYG)
L4,India preferred; US fallback,$1.17,$0.78,$0.73,$0.68,$0.64,$0.59,—,—,—,$0.97 (IN),$0.63 (IN),$0.44 (IN),$1.35 (IN),$0.58 (IN),$0.37 (IN),$0.26 (IN),$0.24 (IN),—,$0.39 (global),$0.33 (global),$0.34 (global),$0.44 (global),—
L40S,India preferred; US fallback,$1.95,$1.30,$1.21,$1.13,$1.06,$0.99,—,—,—,$2.23 (IN),$1.41 (IN),$0.97 (IN),$3.13 (IN),—,—,—,—,$0.60 (global),$0.86 (global),$0.73 (global),$0.75 (global),$0.79 (global),$1.56 (IN)
H100 SXM,India preferred; US fallback,$4.39,$3.17,$2.98,$2.80,$2.63,$2.47,$12.29 (US),—,—,$8.26 (IN),—,$3.57 (IN),$9.49 (IN),$10.19 (IN),$4.20 (IN),$4.47 (IN),$3.27 (IN),$10.00 (global),$2.89 (global),$2.51 (global),$2.72 (global),$1.99 (global),—
H100 NVL,India preferred; US fallback,$4.39,$3.17,$2.98,$2.80,$2.63,$2.47,$6.98 (US),$5.81 (US),$4.31 (US),—,—,—,—,—,—,—,—,—,—,—,—,—,—
H200 SXM,India preferred; US fallback,$4.73,$3.32,$3.12,$2.93,$2.76,$2.59,$10.60 (eastus2),—,—,$9.49 (IN),—,—,$5.72 (IN),$11.17 (IN),$4.58 (IN),$4.90 (IN),$5.08 (IN),$10.00 (global),$3.79 (global),$3.30 (global),$3.56 (global),$0.50 (global),—
B200,India preferred; US fallback,—,—,—,—,—,—,—,—,—,$14.24 (US),—,—,—,—,$8.05 (IN),$11.28 (IN),$2.81 (IN),$14.00 (global),$5.89 (global),$5.12 (global),$5.54 (global),$5.98 (global),—
B300,India preferred; US fallback,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,$15.00 (global),$7.39 (global),—,—,$6.94 (global),—
